1,CHANGAMWE,1
2,JOMVU,1
3,KISAUNI,1
4,LIKONI,1
5,MVITA (MOMBASA),1
6,NYALI,1
7,KINANGO,2
8,KWALE,2
9,LUNGA LUNGA,2
10,MSAMBWENI,2
11,BAHARI (KILIFI),3
12,GANZE,3
13,KALOLENI,3
14,KILIFI SOUTH,3
15,MAGARINI,3
16,MALINDI,3
17,RABAI,3
18,BURA (TANA NORTH),4
19,TANA DELTA,4
20,TANA RIVER,4
21,LAMU EAST,5
22,LAMU WEST,5
23,MWATATE,6
24,TAVETA,6
25,VOI,6
26,WUNDANYI (TAITA),6
27,BALAMBALA,7
28,DADAAB,7
29,FAFI,7
30,GARISSA,7
31,HULUGHO,7
32,IJARA,7
33,LAGDERA,7
34,BUNA,8
35,ELDAS,8
36,HABASWEIN,8
37,TARBAJ,8
38,WAJIR EAST,8
39,WAJIR NORTH,8
40,WAJIR SOUTH,8
41,WAJIR WEST,8
42,BANISA,9
43,LAFEY,9
44,MANDERA CENTRAL,9
45,MANDERA EAST,9
46,MANDERA NORTH,9
47,MANDERA WEST,9
48,CHALBI,10
49,HORR NORTH,10
50,LOIYANGALANI,10
51,MARSABIT,10
52,MARSABIT SOUTH (LAISAMIS),10
53,MOYALE,10
54,SOLOLO,10
55,GARBATULA,11
56,ISIOLO,11
57,MERTI,11
58,BUURI,12
59,IGEMBE CENTRAL,12
60,IGEMBE NORTH,12
61,IGEMBE SOUTH,12
62,IMENTI NORTH,12
63,IMENTI SOUTH,12
64,MERU CENTRAL,12
65,TIGANIA CENTRAL,12
66,TIGANIA EAST,12
67,TIGANIA WEST,12
68,MAARA,13
69,MERU SOUTH,13
70,THARAKA NORTH,13
71,THARAKA SOUTH,13
72,EMBU EAST,14
73,EMBU NORTH,14
74,EMBU WEST,14
75,MBEERE NORTH,14
76,MBEERE SOUTH,14
77,IKUTHA,15
78,KATULANI,15
79,KISASI,15
80,KITUI CENTRAL,15
81,KITUI WEST,15
82,KYUSO,15
83,LOWER YATTA,15
84,MATINYANI,15
85,MUMONI,15
86,MUTITO,15
87,MUTOMO,15
88,MWINGI CENTRAL,15
89,MWINGI EAST,15
90,MWINGI WEST /MIGWANI,15
91,NZAMBANI,15
92,TSEIKURU,15
93,ATHI RIVER,16
94,KANGUNDO,16
95,KATHIANI,16
96,MACHAKOS,16
97,MASINGA,16
98,MATUNGULU,16
99,MWALA,16
100,YATTA,16
101,KATHONZWENI,17
102,KIBWEZI,17
103,KILUNGU,17
104,MAKINDU,17
105,MAKUENI,17
106,MBOONI EAST,17
107,MBOONI WEST,17
108,MUKAA,17
109,NZAUI,17
110,KINANGOP,18
111,KIPIPIRI,18
112,MIRANGINE,18
113,NYANDARUA CENTRAL,18
114,NYANDARUA NORTH,18
115,NYANDARUA SOUTH,18
116,NYANDARUA WEST,18
117,KIENI EAST,19
118,KIENI WEST,19
119,MATHIRA EAST,19
120,MATHIRA WEST,19
121,MUKURWE-INI,19
122,NYERI CENTRAL,19
123,NYERI SOUTH,19
124,TETU,19
125,KIRINYAGA CENTRAL,20
126,KIRINYAGA EAST,20
127,KIRINYAGA WEST,20
128,MWEA EAST,20
129,MWEA WEST,20
130,GATANGA,21
131,KAHURO,21
132,KANDARA,21
133,KANGEMA,21
134,KIGUMO,21
135,MATHIOYA,21
136,MURANG'A EAST,21
137,MURANG'A SOUTH,21
138,GATUNDU NORTH,22
139,GATUNDU SOUTH,22
140,GITHUNGURI,22
141,JUJA,22
142,KABETE,22
143,KIAMBAA,22
144,KIAMBU,22
145,KIKUYU,22
146,LARI,22
147,LIMURU,22
148,RUIRU,22
149,THIKA EAST,22
150,THIKA WEST,22
151,KIBISH,23
152,LOIMA,23
153,TURKANA CENTRAL,23
154,TURKANA EAST,23
155,TURKANA NORTH,23
156,TURKANA SOUTH,23
157,TURKANA WEST,23
158,KIPKOMO,24
159,POKOT CENTRAL,24
160,POKOT NORTH,24
161,POKOT SOUTH,24
162,WEST POKOT,24
163,SAMBURU CENTRAL,25
164,SAMBURU EAST,25
165,SAMBURU NORTH,25
166,ENDEBES,26
167,KIMININI,26
168,KWANZA,26
169,TRANS NZOIA EAST,26
170,TRANS NZOIA WEST,26
171,ELDORET EAST,27
172,ELDORET WEST,27
173,KESSES,27
174,MOIBEN,27
175,SOY,27
176,WARENG,27
177,KEIYO,28
178,KEIYO SOUTH,28
179,MARAKWET EAST,28
180,MARAKWET WEST,28
181,CHESUMEI,29
182,NANDI CENTRAL,29
183,NANDI EAST,29
184,NANDI NORTH,29
185,NANDI SOUTH,29
186,TINDERET,29
187,BARINGO CENTRAL,30
188,BARINGO NORTH,30
189,EAST POKOT,30
190,KOIBATEK,30
191,MARIGAT,30
192,MOGOTIO,30
193,LAIKIPIA CENTRAL,31
194,LAIKIPIA EAST,31
195,LAIKIPIA NORTH,31
196,LAIKIPIA WEST,31
197,NYAHURURU,31
198,GILGIL,32
199,KURESOI,32
200,KURESOI NORTH,32
201,MOLO,32
202,NAIVASHA,32
203,NAKURU EAST,32
204,NAKURU NORTH,32
205,NAKURU WEST,32
206,NJORO,32
207,RONGAI,32
208,SUBUKIA,32
209,NAROK EAST,33
210,NAROK NORTH,33
211,NAROK SOUTH,33
212,NAROK WEST,33
213,TRANS MARA EAST,33
214,TRANS MARA WEST,33
215,ISINYA,34
216,KAJIADO CENTRAL,34
217,KAJIADO NORTH,34
218,KAJIADO WEST,34
219,LOITOKITOK,34
220,MASHUURU,34
221,BELGUT,35
222,BURETI,35
223,KERICHO,35
224,KIPKELION,35
225,LONDIANI,35
226,SIGOWEI / SOIN,35
227,BOMET,36
228,BOMET EAST,36
229,CHEPALUNGU,36
230,KONOIN,36
231,SOTIK,36
232,BUTERE,37
233,KAKAMEGA CENTRAL,37
234,KAKAMEGA EAST,37
235,KAKAMEGA NORTH,37
236,KAKAMEGA SOUTH,37
237,KHWISERO,37
238,LIKUYANI,37
239,LUGARI,37
240,MATETE,37
241,MATUNGU,37
242,MUMIAS,37
243,MUMIAS EAST,37
244,NAVAKHOLO,37
245,EMUHAYA,38
246,HAMISI,38
247,LUANDA,38
248,SABATIA,38
249,VIHIGA,38
250,BUMULA,39
251,BUNGOMA CENTRAL,39
252,BUNGOMA EAST,39
253,BUNGOMA NORTH,39
254,BUNGOMA SOUTH,39
255,BUNGOMA WEST,39
256,CHEPTAIS,39
257,KIMILILI,39
258,MT ELGON,39
259,WEBUYE WEST,39
260,BUNYALA,40
261,BUSIA,40
262,BUTULA,40
263,NAMBALE,40
264,SAMIA,40
265,TESO NORTH,40
266,TESO SOUTH,40
267,BONDO,41
268,GEM,41
269,RARIEDA,41
270,SIAYA,41
271,UGENYA,41
272,UGUNJA,41
273,KISUMU CENTRAL,42
274,KISUMU EAST,42
275,KISUMU WEST,42
276,MUHORONI,42
277,NYAKACH,42
278,NYANDO,42
279,SEME,42
280,HOMA BAY,43
281,MBITA,43
282,NDHIWA,43
283,RACHUONYO EAST,43
284,RACHUONYO NORTH,43
285,RACHUONYO SOUTH,43
286,RANGWE,43
287,SUBA,43
288,AWENDO,44
289,KURIA EAST,44
290,KURIA WEST,44
291,MIGORI,44
292,NYATIKE,44
293,RONGO,44
294,SUNA WEST,44
295,URIRI,44
296,GUCHA,45
297,GUCHA SOUTH,45
298,KENYENYA,45
299,KISII CENTRAL,45
300,KISII SOUTH,45
301,KITUTU CENTRAL,45
302,MARANI,45
303,MASABA SOUTH,45
304,NYAMACHE,45
305,SAMETA,45
306,BORABU,46
307,MANGA,46
308,MASABA NORTH,46
309,NYAMIRA NORTH,46
310,NYAMIRA SOUTH,46
311,DAGORETTI,47
312,EMBAKASI,47
313,KAMUKUNJI,47
314,KASARANI,47
315,KIBRA,47
316,LANGATA,47
317,MAKADARA,47
318,MATHARE,47
319,NJIRU,47
320,STAREHE,47
321,WESTLANDS,47
